City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
27,Kavieng,PG,85.71,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
28,Qasigiannguit,GL,16.05,overcast clouds,68.8193,-51.1922,Almost HOME
29,Divo,CI,71.87,overcast clouds,5.8397,-5.36,Hôtel IROKO
30,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
31,Mahebourg,MU,77.29,shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Jamestown,US,35.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Deori Khas,IN,82.94,clear sky,23.4,79.0167,SAMARPAD COMPUTER DEORI
34,Rikitea,PF,78.48,clear sky,-23.1203,-134.9692,People ThankYou
35,Portland,US,58.08,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
36,Thompson,CA,32.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
37,Lompoc,US,66.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
38,Gornozavodsk,RU,18.97,clear sky,58.3758,58.3211,Hotel Ural
39,Meulaboh,ID,79.54,overcast clouds,4.1363,96.1285,Kost Pria
40,Heze,CN,63.97,clear sky,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
43,Bengkulu,ID,78.87,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
44,Bowen,AU,80.55,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
